name,ob_start,ob_end,inst,type,mjd_trans,mjd_err,flux_crab,flux_err,Lx_bol,Lx_err,ledd_ratio,M,M_err,Rs_km
GX 339-4,50378.0,51266.0,asm,rise_h2s,50376.0,10.307982975905135,0.013810274231152199,0.005181291785169849,5.829726010520489e+36,2.1871768063783583e+36,0.007841977415281799,5.9,3.6,17.428645645297486
GX 339-4,50378.0,51266.0,asm,rise_h2s,50598.0,11.362268088304038,0.0311936567883073,0.005875138436641606,1.3167766931943988e+37,2.4800700396114233e+36,0.017712896061264444,5.9,3.6,17.428645645297486
GX 339-4,50378.0,51266.0,asm,decay_s2h,50611.0,8.411146971247629,0.024067723178994402,0.003693614877665716,1.0159699183532038e+37,1.5591842974849305e+36,0.013666531051294105,5.9,3.6,17.428645645297486
GX 339-4,50378.0,51266.0,asm,rise_h2s,50747.0,9.774269029404277,0.0396011959790126,0.01588990481479101,1.6716838375721957e+37,6.707599708232107e+36,0.022487003464786062,5.9,3.6,17.428645645297486
GX 339-4,50378.0,51266.0,asm,rise_h2s,50812.0,4.239512035787526,0.10515833028834295,0.007497068180665039,4.4390447506248465e+37,3.1647346492859686e+36,0.059712735413301674,5.9,3.6,17.428645645297486
GX 339-4,50378.0,51266.0,asm,decay_s2h,51233.0,10.666252862419276,0.02627062364209415,0.0040230415304257925,1.1089608750378401e+37,1.6982450499370486e+36,0.014917418281380686,5.9,3.6,17.428645645297486
GX 339-4,52366.0,52738.0,asm,rise_h2s,52402.0,0.09949874371066199,0.42768263806841633,0.003351975823631454,1.8053751559627442e+38,1.4149683285492442e+36,0.24285380090970463,5.9,3.6,17.428645645297486
GX 339-4,52366.0,52738.0,asm,decay_s2h,52734.0,1.018685690438325,0.0278690358680766,0.002702233748712123,1.1764345918763104e+37,1.140692944086386e+36,0.015825055042726802,5.9,3.6,17.428645645297486
GX 339-4,53068.0,53484.0,asm,rise_h2s,53151.0,11.233335673427513,0.03022589704775255,0.003985302113222623,1.275924686659146e+37,1.6823141235550855e+36,0.017163366783146977,5.9,3.6,17.428645645297486
GX 339-4,53068.0,53484.0,asm,decay_s2h,53156.0,12.09364691145284,0.02360150252708165,0.005466335242315331,9.962893630245726e+36,2.307502096697453e+36,0.013401793960513487,5.9,3.6,17.428645645297486
