name,ob_start,ob_end,peak_crab,peak_ledd,ledd_rise,ledd_decay,hyst_dex,radio_peak_mjy,radio_ref,M_msun,M_err,D_kpc,D_err,Porb_d,tier,a_cf,a_cf_err,a_refl,a_refl_err,a_best,a_method,r_isco_rg,omega_h,eta_bz,xi,xi_err,n_lrlx,phi_max_mid,phi_max_low,phi_max_high
GX 339-4,50378.0,51266.0,0.3685333251953125,0.20926666368733118,0.0597127354133016,0.0136665310512941,0.6404086740290178,9.1,Corbel+13 (VizieR); >=3 epochs in event,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,52366.0,52738.0,0.8867275442157052,0.5035162415212736,0.2428538009097046,0.0158250550427268,1.1859996757582407,14.27,Corbel+13 (VizieR); >=3 epochs in event,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,53068.0,53484.0,0.5363195645944132,0.3045418101427711,0.0711171488515629,0.0134017939605134,0.7248114002692032,5.2,Corbel+13 (VizieR); >=3 epochs in event,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,54070.0,54246.0,1.0102061688241988,0.5736319082518885,0.2618690576441157,,,22.5,Corbel+13 (VizieR); >=3 epochs in event,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,55200.0,55604.0,0.6519924182544016,0.3702250754262834,0.2958512434228099,0.0219555660579568,1.129528760341672,25.94,Corbel+13 (VizieR); >=3 epochs in event,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,56506.0,56596.0,0.1024981081081081,0.06984259707861011,,,,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,56952.0,57270.0,0.5793262162162162,0.3947550666358517,0.2238732742658055,0.0290984270969013,0.8861327370803926,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,58740.0,58956.0,0.5329462162162162,0.3631515598756163,0.3026877490109214,0.0130053275651648,1.366873548425991,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,59244.0,59486.0,0.5275962162162162,0.3595060497167708,0.1644616797331421,,,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,60256.0,60440.0,0.3123262162162162,0.21282026057757533,0.1530968777802529,0.0417391115645914,0.5644231332165223,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,60486.0,60662.0,0.2014408108108108,0.13726252751717913,0.0668793194220854,0.0234654278936373,0.4548633669726824,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
GX 339-4,60990.0,61082.0,0.1084762162162162,0.07391610246903729,,,,,,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
MAXI J1820+070,58188.0,58405.0,2.1894445945945944,0.1288900819186595,0.0909142810415209,0.0198339412530699,0.6612230860932443,,,8.48,0.79,2.96,0.33,0.6858,gold,0.14,0.09,0.2,0.2,0.14,CF,5.534547432290455,0.03517320157526762,0.0012371541090544086,,,,,,
XTE J1550-564,51064.0,51304.0,6.492110590120788,0.655792724390479,0.1219708860148967,,,,,9.1,0.6,4.4,0.5,1.542,gold,0.34,0.24,0.55,0.22,0.34,CF,4.834689078844027,0.08760965346955912,0.007675451381056233,29.11391781141055,0.0,1.0,16.281797278697553,7.281441102207762,32.563594557395106
XTE J1550-564,51638.0,51696.0,0.9506488453444,0.09602864701284582,0.0405324464820148,0.0141133892844427,0.45817149725901046,,,9.1,0.6,4.4,0.5,1.542,gold,0.34,0.24,0.55,0.22,0.34,CF,4.834689078844027,0.08760965346955912,0.007675451381056233,29.11391781141055,0.0,1.0,16.281797278697553,7.281441102207762,32.563594557395106
XTE J1550-564,51940.0,51990.0,0.1076936776470648,0.010878547012318327,,,,,,9.1,0.6,4.4,0.5,1.542,gold,0.34,0.24,0.55,0.22,0.34,CF,4.834689078844027,0.08760965346955912,0.007675451381056233,29.11391781141055,0.0,1.0,16.281797278697553,7.281441102207762,32.563594557395106
