name,Lr,Lx,ledd,M,M_err,Rs_km,spin,spin_meas,tier,phi_low,phi_mid,phi_high
4U 1543-47,2.31e+30,9.83e+35,0.0016599121918270854,9.4,1.0,27.767672723016332,0.8,True,gold,7.535640058536903,16.85020342485901,33.70040684971802
A0620-00,2.4157107e+26,7.476975899999999e+30,1.7982145021645022e-08,6.6,0.25,19.496451060841252,0.12,True,gold,51.23464987926721,114.56415993344288,229.12831986688576
A0620-00,1.4927177e+26,1.7992938e+31,4.3273059163059165e-08,6.6,0.25,19.496451060841252,0.12,True,gold,34.708137498498495,77.60975481905214,155.21950963810428
GRO J1655-40,1.16e+29,2.69e+35,0.0007907113462669017,5.4,0.3,15.951641777051934,0.7,True,gold,5.0979786829945795,11.39942688302073,22.79885376604146
GRO J1655-40,1.53e+29,2.69e+35,0.0007907113462669017,5.4,0.3,15.951641777051934,0.7,True,gold,5.621255784426692,12.569510052891987,25.139020105783974
GRO J1655-40,1.65e+29,5.5e+35,0.0016166960611405056,5.4,0.3,15.951641777051934,0.7,True,gold,4.827858950369822,10.795420798807704,21.59084159761541
GRO J1655-40,1.58e+29,9.32e+35,0.0027395649617871836,5.4,0.3,15.951641777051934,0.7,True,gold,4.167220630704778,9.318188607495431,18.636377214990862
GRO J1655-40,1.26e+29,1.48e+36,0.004350382128159905,5.4,0.3,15.951641777051934,0.7,True,gold,3.427249139253837,7.663562051199223,15.327124102398447
GRO J1655-40,1.24e+29,1.2999999999999998e+35,0.00038212815990593764,5.4,0.3,15.951641777051934,0.7,True,gold,6.259976862149856,13.99773380134291,27.99546760268582
GRO J1655-40,6.76e+28,7.55e+35,0.00221928277483833,5.4,0.3,15.951641777051934,0.7,True,gold,3.255222326185731,7.278898403226289,14.557796806452577
GX 339-4,2.427485e+30,6.289781000000001e+36,0.016921659940812486,5.9,3.6,17.428645645297486,0.95,True,gold,3.2803847120557865,7.3351632085078124,14.670326417015625
GX 339-4,2.324106e+30,6.232471000000001e+36,0.01676747645951036,5.9,3.6,17.428645645297486,0.95,True,gold,3.2452009917575477,7.256490018219613,14.512980036439226
GX 339-4,1.818699e+30,6.332764e+36,0.017037298896959915,5.9,3.6,17.428645645297486,0.95,True,gold,2.9524909434968727,6.601970452611499,13.203940905222998
GX 339-4,1.118021e+30,2.9371420000000003e+36,0.007901915523271456,5.9,3.6,17.428645645297486,0.95,True,gold,3.442512642221369,7.697692281409394,15.395384562818789
GX 339-4,4.78605e+29,1.031581e+36,0.00277530535377993,5.9,3.6,17.428645645297486,0.95,True,gold,3.3146047422327234,7.411681522175537,14.823363044351074
GX 339-4,5.360376e+28,5.630715e+34,0.00015148547215496368,5.9,3.6,17.428645645297486,0.95,True,gold,3.1666246262427484,7.08078792350365,14.1615758470073
GX 339-4,2.592125e+30,3.275271e+37,0.08811598062953996,5.9,3.6,17.428645645297486,0.95,True,gold,1.471219688388205,3.2897472330720845,6.579494466144169
GX 339-4,3.212397e+30,4.388518999999999e+37,0.11806615550174872,5.9,3.6,17.428645645297486,0.95,True,gold,1.3709664927025613,3.0655742725573965,6.131148545114793
GX 339-4,5.0502400000000006e+30,7.716802e+37,0.20760834005918752,5.9,3.6,17.428645645297486,0.95,True,gold,1.2128693631707759,2.712058343876735,5.42411668775347
GX 339-4,2.2973039999999997e+29,2.6649189999999996e+35,0.0007169542641915522,5.9,3.6,17.428645645297486,0.95,True,gold,3.588256539505384,8.023585543042199,16.047171086084397
GX 339-4,4.862627e+29,1.073131e+36,0.0028870890503093897,5.9,3.6,17.428645645297486,0.95,True,gold,3.300482812948099,7.380103928321674,14.760207856643348
GX 339-4,6.777046999999999e+29,3.381295e+36,0.009096838848533764,5.9,3.6,17.428645645297486,0.95,True,gold,2.785179964176694,6.227851729469517,12.455703458939034
GX 339-4,1.818699e+30,1.299506e+37,0.03496115146623621,5.9,3.6,17.428645645297486,0.95,True,gold,2.061085848648787,4.608728065041531,9.217456130083063
GX 339-4,1.883789e+30,1.368278e+37,0.036811353241861716,5.9,3.6,17.428645645297486,0.95,True,gold,2.0337050631692857,4.547502767432027,9.095005534864054
GX 339-4,1.971853e+30,1.42129e+37,0.038237557169760565,5.9,3.6,17.428645645297486,0.95,True,gold,2.0278552385261057,4.534422161873422,9.068844323746845
GX 339-4,1.97951e+30,1.4413489999999998e+37,0.03877721280602636,5.9,3.6,17.428645645297486,0.95,True,gold,2.0164515044791242,4.508922637347044,9.017845274694087
GX 339-4,1.665545e+30,5.37282e+36,0.014454721549636805,5.9,3.6,17.428645645297486,0.95,True,gold,3.1074214153876354,6.948405519545364,13.896811039090728
GX 339-4,1.680861e+30,3.968723e+36,0.010677220877051386,5.9,3.6,17.428645645297486,0.95,True,gold,3.627262606427247,8.11080576021439,16.22161152042878
GX 339-4,1.175454e+30,2.650591e+36,0.007130995426419155,5.9,3.6,17.428645645297486,0.95,True,gold,3.595005625026617,8.038676957053635,16.07735391410727
GX 339-4,1.102706e+30,2.364041e+36,0.006360078019908529,5.9,3.6,17.428645645297486,0.95,True,gold,3.61683612793692,8.08749144554408,16.17498289108816
GX 339-4,9.686965999999999e+29,2.249421e+36,0.006051711057304278,5.9,3.6,17.428645645297486,0.95,True,gold,3.4983576291434493,7.822565468369752,15.645130936739504
GX 339-4,6.623894e+29,1.67632e+36,0.0045098735539413504,5.9,3.6,17.428645645297486,0.95,True,gold,3.2925403472456534,7.362344035102044,14.724688070204088
GX 339-4,7.159930999999999e+29,1.7909399999999998e+36,0.004818240516545601,5.9,3.6,17.428645645297486,0.95,True,gold,3.32872477679538,7.443254879302284,14.886509758604568
GX 339-4,5.436952999999999e+29,1.3754420000000002e+36,0.003700408931934356,5.9,3.6,17.428645645297486,0.95,True,gold,3.226579050224257,7.214850091078147,14.429700182156294
