window,phase,inst,n_radio,n_xray,lag_d,err_lo,err_hi,rmax,quality,t0,t1
53068_rise,rise,asm,7,88,-4.816464410325885,3.9840438433434766,6.066238917484396,0.9090200990504103,A,53038.0,53151.0
53068_decay,decay,asm,9,23,8.173877599054954,7.171169478855534,9.053994545051179,0.9782526239367901,A,53477.0,53574.0
55200_rise,rise,bat,16,107,9.299213559332774,0.4845625322370566,0.46837206493191275,0.9799681996782618,A,55170.0,55298.0
55200_decay,decay,bat,15,33,8.022566790266326,26.433102005763764,2.370184952703573,0.8410254519206618,A,55597.0,55694.0
