mjd,inst,flux_crab,flux_err,hr,hr_err
50088.5,asm,0.31098143206289053,0.012542315904668342,2.0450135159688485,0.25796999485460526
50091.5,asm,0.3993529586459187,0.022722842691886774,1.862444597434465,0.323008581573223
50133.5,asm,0.5645778268789624,0.010394143990085215,2.4984964234272975,0.14166542967868123
50135.5,asm,0.7750666809082031,0.03466666539510091,2.9079820633112843,0.46870800975938043
50136.5,asm,0.5114908632005553,0.007891080156332678,2.7225529532064576,0.1194449350956961
50137.5,asm,0.6546663244203739,0.005634331031162061,3.0509173211245106,0.0760543005213114
50138.5,asm,0.49126549193050884,0.005822014201194606,2.4715554792021264,0.08040867427310507
50139.5,asm,0.522564181533705,0.0044568662428864985,2.6692732914818587,0.07090639043956287
50140.5,asm,0.5617812724017163,0.005025118979715205,2.6718253277964847,0.07525074582760599
50141.5,asm,0.5559631481520649,0.005485853155604233,2.539301093627057,0.07726220295302946
50142.5,asm,0.5512472277894481,0.005041606571393626,2.661754026883824,0.07363938806073261
50143.5,asm,0.5910584474416234,0.008448451776596363,3.1618420558035814,0.15120949131364206
50144.5,asm,0.5422152514239112,0.005455931140436902,2.4813769480862837,0.07522362591312991
50145.5,asm,0.6281175353686838,0.005996594607528625,2.844543056324849,0.08297312576861103
50146.5,asm,0.5107341826083207,0.0052188798611676745,2.4527327227959725,0.07333204865178557
50147.5,asm,0.40438166854910035,0.00735461690440033,2.1900104568804935,0.10687505792009375
50148.5,asm,0.7083699460808056,0.01318030118856045,2.9382011728632413,0.15299658431053897
50149.5,asm,0.4964860992862523,0.0073551079022832365,2.772216400734139,0.11518058919631184
50150.5,asm,0.5046183009450639,0.006261671299117935,2.539649470573785,0.0883206246419191
50151.5,asm,0.6235602249227248,0.0059261217027694905,2.872147294156556,0.07627374449207631
50152.5,asm,0.5313541200881585,0.005842111825556593,2.7314917746992218,0.08269817112618243
50153.5,asm,0.6672496436903411,0.007877412058091374,2.6866305004932514,0.08749943182058344
50154.5,asm,0.7304056020911438,0.007610361617517302,2.8437497861506906,0.08448560122892969
50156.5,asm,0.5661750152428828,0.012493188121949802,2.6405370917113276,0.16393407878728333
50157.5,asm,0.6818719662806991,0.011736129246154674,2.8367242880176105,0.1220767169081335
50159.5,asm,0.7915829656251278,0.007385422177341725,2.7006373738339904,0.06790078959422338
50160.5,asm,0.8569100904734474,0.009109447477221528,2.7803821792029626,0.07856956909876435
50161.5,asm,0.9613106534095269,0.011354219299977713,2.338412957975091,0.07406748535896643
50162.5,asm,1.074470161564288,0.008938771928774838,3.0944922913307686,0.08106477243421976
50163.5,asm,0.9617231428172253,0.006401977957252086,2.7479192828241623,0.05012872480657634
50164.5,asm,1.0610352107641963,0.008333422512696293,2.959752904413079,0.0670872493591339
50165.5,asm,0.7143759637559447,0.007644132254642392,2.2418468880268803,0.06245376869818157
50166.5,asm,1.3066262803100757,0.010561957971474467,3.216265414041626,0.07454065097677749
50167.5,asm,1.2010261183765705,0.010771070296534966,2.965209063558323,0.07721101882084705
50168.5,asm,0.9513775127092451,0.015022699961028898,2.7593184049238393,0.1194089138278124
50169.5,asm,1.002627630822166,0.005430998604339221,2.8819302222201166,0.044514009966596914
50170.5,asm,0.9982694996519219,0.004791098700797546,2.9276843151054903,0.03918038397413596
50172.5,asm,0.8416362213217865,0.004713971438728232,2.736225140463201,0.04097490499197708
50173.5,asm,0.769795694083156,0.004722515118836328,2.2401501616135366,0.03504422448001555
50174.5,asm,1.1994654138587546,0.004478169685402113,2.957012605581451,0.02915181328796064
50175.5,asm,1.0050046254784912,0.0037869634902292413,2.733482149143093,0.027525718453845396
50176.5,asm,0.940744016556745,0.004890748286260341,2.688426524292947,0.03741519886227437
50177.5,asm,1.3432286165154739,0.012244313677023742,2.554492208648074,0.06437780088031034
