mjd,inst,flux_crab,flux_err,hr,hr_err
50087.5,asm,0.3666333141815654,0.008206955247820861,1.4391877224111036,0.08374953040551322
50088.5,asm,0.2698031004625507,0.011681547397337089,1.9412478945190568,0.21479428365818176
50090.5,asm,0.31677433234992836,0.0017617215666405324,1.6320724830365914,0.022394084821980582
50091.5,asm,0.3479858224814831,0.012693079361856787,1.6467810684909834,0.1463628600132309
50092.5,asm,0.05804584801706581,0.005737199603650281,2.116255351663372,0.5477317816140892
50135.5,asm,0.44840001424153647,0.03106666564941406,1.8673835517498214,0.3397127547877895
50136.5,asm,0.427503941080067,0.0064571419106895026,1.4036334683760743,0.04858571764204164
50137.5,asm,0.4203620915444161,0.005452330680076743,1.4123617866729017,0.0429965528002219
50138.5,asm,0.42470682827960415,0.005857238883457067,1.4259548804819482,0.04584969375919088
50139.5,asm,0.42539143526190126,0.0035957700524272265,1.4139409343090648,0.028377346688381083
50140.5,asm,0.41509444454726135,0.00401502022192632,1.5444735196084207,0.03643135054364889
50141.5,asm,0.4361757894937737,0.003896992796370869,1.3443941906894261,0.028363163516380085
50142.5,asm,0.4382107809194779,0.004220159986925749,1.2804170350762893,0.028962411092610368
50143.5,asm,0.4441632004283655,0.006378582552649033,1.2110065994589068,0.04152103892758823
50144.5,asm,0.5124978497174416,0.00424429301288089,1.210287678736265,0.023644657487712988
50145.5,asm,0.5418697386297651,0.004849894516330737,1.222834940251048,0.025342341105589767
50146.5,asm,0.48595896025322977,0.005960095003982705,1.1878396225775736,0.03453565378753153
50148.5,asm,0.4512842295157318,0.008347212528470649,1.3013824586175886,0.055775474312324956
50149.5,asm,0.39869838167614324,0.006278112535045912,1.512878846113245,0.05608817283783537
50150.5,asm,0.40861656438205446,0.006088878510536211,1.4900681510168725,0.052204421097104256
50151.5,asm,0.37138581824130207,0.00456681230060339,1.4691937375032034,0.042830195117042856
50152.5,asm,0.38285847374255305,0.0050229781372814275,1.519965199625375,0.04689100283258566
