mjd,inst,flux_crab,flux_err,hr,hr_err
50144.5,asm,0.024122888523536744,0.00798147125440289,0.7062863649699918,0.573087922741083
50176.5,asm,0.004155267903037135,0.0020118169267662276,1.1786835010490775,1.7263885056592512
50180.5,asm,0.00866503822901683,0.0030852909141738222,-541.363903292945,160391.2183060933
50184.5,asm,0.004818650175411345,0.00201534600915196,3.2895930679603294,5.0692544687036145
50200.5,asm,0.0052405024682185344,0.002298777841760841,1.0612689214197533,1.0761361764689443
50202.5,asm,0.00394240511499837,0.0018213321363481272,4.482723714857055,5.784753189208313
50208.5,asm,0.008584630262329848,0.0028348131381087873,1.378743802917049,1.0022088879975029
50210.5,asm,0.005295592700688328,0.0024361049478763656,-8.156055155969918,40.922547038931896
50216.5,asm,0.011383802441587923,0.003872980939398508,0.8538292895317031,0.6247351151634296
50223.5,asm,0.005317885016290302,0.0024616986547852495,0.964638627301097,1.2816928542849122
50230.5,asm,0.007841435072056787,0.0029838865022721026,0.8674873840434862,0.6352766789553457
50252.5,asm,0.0069197723411581966,0.0024180578108512355,2.3254251172830047,1.7711909082661592
50260.5,asm,0.006946948094822036,0.002632796395058652,0.8060614199718317,0.7034545642826642
50265.5,asm,0.004971551121786869,0.0023445076061811157,4.383103040490559,8.031637011463303
50266.5,asm,0.0059709811770908205,0.002776611624110104,0.5471725961821758,0.7538240163815415
50281.5,asm,0.006748952040648528,0.002959345955217391,-0.19202919353683254,1.2415501135154856
50282.5,asm,0.0063743708897607936,0.003050586541660918,-8.502271508018833,31.871598453846207
50295.5,asm,0.028378121101371435,0.008794332812998832,0.9731313230335891,1.115765120497849
50299.5,asm,0.007717572357842502,0.0025409535747546665,0.09445964396464898,0.2837127365093776
50328.5,asm,0.007478179617551321,0.0023670411278067316,2.837956997868962,3.2316056350981794
50330.5,asm,0.006471876062458495,0.0028823044009062804,1.315575351936116,1.4025818165235213
50331.5,asm,0.024022633427731963,0.011920514476166193,0.5840381137306123,0.7566318310507372
50339.5,asm,0.04079999923706055,0.01693333307902018,1.2314814722832341,1.1374793127913634
50421.5,asm,0.004774299454978217,0.0016180345335366137,-14.736207906923354,68.43500714535875
50443.5,asm,0.003303033036380133,0.0015723468489427597,1.5503726607305026,1.7375206036309643
50465.5,asm,0.007164318065803951,0.003546555422054698,6.10975831225131,30.118189774574418
50468.5,asm,0.005386971147383124,0.0024990935360549266,0.9446235148554522,0.9819910212857959
50477.5,asm,0.005223977355655285,0.0017427477600320943,0.9163839653645807,1.0242873999020363
