mjd,inst,flux_crab,flux_err,hr,hr_err
55054.5,maxi,0.1938589189189189,0.022643243243243242,0.6356151772509862,0.13477443514285384
55055.5,maxi,0.14361756756756755,0.01259081081081081,0.928200976344879,0.1634645049696354
55056.5,maxi,0.14014459459459458,0.009229729729729729,0.5801240253942148,0.06907323793049688
55057.5,maxi,0.14168,0.0063018918918918915,0.7564570006331462,0.06035675636370808
55058.5,maxi,0.10970135135135135,0.006355675675675675,0.7732480032389856,0.07793224826008156
55059.5,maxi,0.0943281081081081,0.006335945945945946,0.8774802325097127,0.10739152097198458
55060.5,maxi,0.10738648648648648,0.006384054054054054,0.768306372060703,0.08241893800834145
55061.5,maxi,0.0995127027027027,0.006485405405405405,0.6896551724137931,0.07660481785809672
55062.5,maxi,0.1196508108108108,0.006798648648648649,0.7873153912787447,0.07932766334607776
55063.5,maxi,0.12476675675675676,0.006699729729729729,0.7036696699388886,0.06434414353938503
55064.5,maxi,0.1063108108108108,0.006810270270270271,0.6502376232894705,0.08044182552600504
55065.5,maxi,0.12361594594594594,0.007499189189189189,0.6550653552140676,0.06897103518981156
55066.5,maxi,0.08223648648648649,0.006945135135135135,0.7226138812083035,0.10765962737593981
55067.5,maxi,0.05346783783783784,0.007091081081081081,0.5489263151261166,0.12422758531285143
55068.5,maxi,0.05292783783783784,0.007195675675675675,0.4436097793068111,0.13652002393098955
55069.5,maxi,0.03797135135135135,0.007407567567567567,0.6409843163667854,0.2083388878652231
55070.5,maxi,0.04793405405405406,0.007261081081081081,0.7899086781286669,0.2392502120377094
55073.5,maxi,0.061669999999999996,0.010733513513513513,1.836531676505516,0.8483324663170817
55076.5,maxi,0.019863783783783784,0.005972972972972973,0.3275492558050165,0.17474586804097128
55084.5,maxi,0.013595135135135133,0.006402972972972973,2.7882647426930722,3.142874901384682
55135.5,maxi,0.028119729729729728,0.00875108108108108,77.37010676156584,3207.681082188561
55138.5,maxi,0.04822675675675675,0.010944324324324324,0.5199214475535407,0.24616940364312065
55144.5,maxi,0.0434172972972973,0.014876216216216216,-7.090377697841727,-21.060046490342014
55146.5,maxi,0.03922918918918919,0.010098918918918919,0.05810040666704852,0.13365761566436646
55154.5,maxi,0.06294459459459459,0.024683243243243242,0.22226812958117184,0.3586469383055025
55161.5,maxi,0.02299918918918919,0.007728108108108108,2.155278401702329,2.801872796726784
55178.5,maxi,0.05613243243243243,0.005772162162162162,1.7160485387113313,0.6390223372174606
